person_id	Культурная жизнь и досуг	Праздничные мероприятия и поздравления	Политика	Городские услуги и mos.ru	Спорт и ЗОЖ	ЖКХ	Общественный транспорт	Торговля	Личный транспорт	Образование	Бизнес	Городские объекты	Здравоохранение	Лояльность (спецпредложения. реклама. акции/бонусы)	Внутренние инфоповоды 	Социальная сфера	Экстренные оповещения
0	0.223174924	0.828462415	0.581446553	0.163775547	0.326388962	0.340799011	0.049238872	0.675310469	0.114303898	0.859682594	0.255819475	0.092910537	0.106624316	0.671162968	0.564228019	0.152213512	0.368156476
1	0.059293357	0.651252277	0.171240612	0.93737971	0.730291586	0.672418448	0.249407585	0.460921609	0.294412588	0.9036699	0.577832446	0.414983562	0.963144198	0.564827022	0.037908987	0.674117905	0.017573945
2	0.955923408	0.989812081	0.996352444	0.370294714	0.613679119	0.013831913	0.347663147	0.127603509	0.862257558	0.243243219	0.942067607	0.579707194	0.895267267	0.188809099	0.665690349	0.197665381	0.784960152
3	0.450301779	0.438516964	0.862052718	0.177434732	0.483394637	0.124495853	0.107605328	0.629802423	0.55707912	0.397795891	0.223871926	0.681934243	0.118262257	0.293284359	0.885109247	0.891879248	0.134292258
4	0.263483583	0.709153873	0.781439521	0.219172232	0.551928984	0.727794493	0.240960931	0.374264134	0.055783324	0.525661488	0.863814911	0.250395915	0.427510472	0.584647028	0.37939969	0.331964099	0.457901876
5	0.764664025	0.648635239	0.37807837	0.88294611	0.553185641	0.106941692	0.659914392	0.02017291	0.224069685	0.642606778	0.589710393	0.370137523	0.978133679	0.503042165	0.453352248	0.858379552	0.55019118
6	0.174937818	0.181138952	0.093780747	0.733200702	0.620406927	0.834553497	0.424176568	0.482052699	0.512046541	0.029468747	0.981581917	0.203602861	0.425853907	0.893336065	0.594911432	0.077047209	0.645735653
7	0.797572004	0.871860103	0.484873277	0.000422541	0.27512074	0.146404488	0.780906328	0.076844119	0.208214093	0.57280842	0.220421748	0.943909486	0.306216085	0.15085343	0.560222233	0.382988659	0.011421071
8	0.272491522	0.914317401	0.184544376	0.815239631	0.099816538	0.433462053	0.189419412	0.834484138	0.873762178	0.991314718	0.824376568	0.859997529	0.75620369	0.586986687	0.175030568	0.752603504	0.085834921
9	0.787543841	0.856716105	0.815426651	0.234405756	0.349243936	0.282030981	0.262941756	0.676074743	0.725991226	0.934290138	0.420081958	0.762773453	0.425606648	0.932711468	0.173688347	0.23655111	0.027369195
10	0.910341837	0.711038116	0.589658745	0.916587272	0.277296279	0.35179714	0.290609038	0.107937403	0.970630988	0.725539082	0.70291238	0.517625397	0.374064867	0.156364377	0.632933624	0.681000231	0.294757127
11	0.95442807	0.840877002	0.686445785	0.342262109	0.839092325	0.81855491	0.707258463	0.379901986	0.817166149	0.063765506	0.280179333	0.2652036	0.856617076	0.789116288	0.246191866	0.644794472	0.218787301
12	0.532896534	0.980956742	0.675439036	0.062310599	0.432081715	0.475143416	0.916562513	0.783922605	0.211140347	0.275451298	0.937622342	0.827253948	0.439786087	0.513967587	0.858684179	0.215304611	0.63409217
13	0.630143118	0.427585458	0.326492023	0.853365659	0.80746807	0.12409812	0.504021156	0.032115688	0.121726412	0.720683712	0.2592109	0.081439222	0.72402671	0.666691556	0.172878886	0.545750872	0.458810603
14	0.054959629	0.110408161	0.173708596	0.478490271	0.948902803	0.870755645	0.44182266	0.1805112	0.210404899	0.582074936	0.156286019	0.891866398	0.062980876	0.5356808	0.131635921	0.043810412	0.467266716
15	0.955167964	0.288989407	0.436976417	0.792451696	0.334929705	0.193091608	0.787820148	0.468043304	0.613676585	0.574337125	0.989981686	0.886061943	0.84121329	0.159714029	0.646871559	0.997070466	0.944768715
16	0.015364074	0.714532595	0.136232032	0.80585948	0.13602513	0.636217522	0.772956134	0.272747358	0.072204097	0.197813256	0.823920385	0.667760053	0.048235438	0.359277875	0.157477637	0.025649119	0.276090035
17	0.185831474	0.2437267	0.213472956	0.978189856	0.165823253	0.678378342	0.217350404	0.726430544	0.897135883	0.956525328	0.270296955	0.341000053	0.080970608	0.321014273	0.357255141	0.737146076	0.129427451
18	0.573369609	0.060771743	0.643012885	0.118378589	0.446722852	0.807516304	0.63378191	0.401739536	0.352747488	0.165935742	0.219567793	0.354101689	0.602422302	0.671754641	0.20857014	0.399609103	0.553086439
19	0.391486929	0.153339222	0.435203789	0.749349007	0.553850838	0.117970299	0.634544386	0.268412115	0.240239771	0.870916759	0.17557346	0.897309909	0.328276558	0.232342552	0.454940638	0.468220623	0.709819349
20	0.793272297	0.494407305	0.313496931	0.416584212	0.9957439	0.895459622	0.95325657	0.595554672	0.281401651	0.830747331	0.61186093	0.941539628	0.118617535	0.240566795	0.207285924	0.372290336	0.695221461
